YESphlox-Gluc0.1stationary7CdCl1	FYPO:0009017	FYPO:0009018	reduced viability in stationary phase upon glucose starvation in the presence of cadmium	increased viability in stationary phase upon glucose starvation in the presence of cadmium	FYECO:0000123,FYECO:0000137,FYECO:0000175(1mM),FYECO:0000334,FYECO:0000081(0.1%),FYECO:0000005(32)	null
YESphlox-Gluc0.5starionary7	FYPO:0000245	FYPO:0001309	loss of viability in stationary phase	increased viability in stationary phase	FYECO:0000123,FYECO:0000137,FYECO:0000334,FYECO:0000181(0.5%),FYECO:0000005(32)	null
YESphlox-Gluc1stationary7	FYPO:0000245	FYPO:0001309	loss of viability in stationary phase	increased viability in stationary phase	FYECO:0000123,FYECO:0000137,FYECO:0000334,FYECO:0000181(1%),FYECO:0000005(32)	null
YESphlox-Temp25Gluc0.1	FYPO:0004162	FYPO:0004163	loss of viability upon glucose starvation	increased viability upon glucose starvation	FYECO:0000137,FYECO:0000334,FYECO:0000081(0.1%),FYECO:0000005(25)	null
YESphlox-Temp25Gluc0.5	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,FYECO:0000181(0.5%),FYECO:0000005(25)	null
YESphlox-Temp25Gluc1	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,FYECO:0000181(1%),FYECO:0000005(25)	null
YESphlox-Temp25Gluc3	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,FYECO:0000181(3%),FYECO:0000005(25)	null
YESphlox-Xylose2Gluc0.1	FYPO:0009014	FYPO:0009016	decreased vegetative cell population viability on xylose carbon source	increased cell population viability on xylose carbon source	FYECO:0000081(0.1%),FYECO:0000334,FYECO:0000414(2%),FYECO:0000005(32)	null
EMM_Gluc0.5	FYPO:0001355	FYPO:0004557	decreased vegetative cell population growth	increased vegetative cell population growth	FYECO:0000126,FYECO:0000181(0.5%),FYECO:0000005(32)	overexpression
EMM_Gluc2	FYPO:0001355	FYPO:0004557	decreased vegetative cell population growth	increased vegetative cell population growth	FYECO:0000126,FYECO:0000181(2%),FYECO:0000005(32)	overexpression
EMM_Gluc3	FYPO:0001355	FYPO:0004557	decreased vegetative cell population growth	increased vegetative cell population growth	FYECO:0000126,FYECO:0000181(3%),FYECO:0000005(32)	overexpression
YESphlox-Gluc0.1stationary7	FYPO:0005231	FYPO:0009054	loss of viability in stationary phase upon glucose starvation	increased viabilitiy in stationary phase upon glucose starvation	FYECO:0000081(0.1%),FYECO:0000334,FYECO:0000123,FYECO:0000005(32)	null
YESphlox-Gluc0.5stationary7	FYPO:0000245	FYPO:0001309	loss of viability in stationary phase	increased viability in stationary phase	FYECO:0000137,FYECO:0000334,FYECO:0000123,FYECO:0000181(0.5%),FYECO:0000005(32)	null
YESphlox-Gluc0.1Aged7	FYPO:0005231	FYPO:0001309	loss of viability in stationary phase upon glucose starvation	increased viability in stationary phase	FYECO:0000081(0.1%),FYECO:0000334,FYECO:0000123,FYECO:0000005(32)	null
YESphlox-Gluc0.5Aged7	FYPO:0000245	FYPO:0001309	loss of viability in stationary phase	increased viability in stationary phase	FYECO:0000137,FYECO:0000334,FYECO:0000123,FYECO:0000181(0.5%),FYECO:0000005(32)	null
YESphlox-Gluc1Aged7	FYPO:0000245	FYPO:0001309	loss of viability in stationary phase	increased viability in stationary phase	FYECO:0000137,FYECO:0000334,FYECO:0000123,FYECO:0000181(1%),FYECO:0000005(32)	null
